2022-03-20, 15:04:24, Found, person, 21, 2024,  631
2022-03-20, 15:04:24, Eingang, 51931, 21, No face visible, NA, -1
2022-03-20, 15:04:25, Eingang, 51941, 21, No face visible, NA, -1
2022-03-20, 15:04:29, Eingang, 51984, 21, No face visible, NA, -1
2022-03-20, 15:04:30, Eingang, 51994, 21, No face visible, NA, -1
2022-03-20, 15:04:31, Eingang, 52004, 21, No face visible, NA, -1
2022-03-20, 15:04:32, Eingang, 52014, 21, No face visible, NA, -1
2022-03-20, 15:04:33, Eingang, 52024, 21, No face visible, NA, -1
2022-03-20, 15:04:33, Eingang, 52025, 21, No face visible, NA, -1
2022-03-20, 15:04:34, Eingang, 52035, 21, No face visible, NA, -1
2022-03-20, 15:04:35, Eingang, 52045, 21, No face visible, NA, -1
2022-03-20, 15:04:36, Eingang, 52055, 21, No face visible, NA, -1
2022-03-20, 15:04:37, Eingang, 52065, 21, No face visible, NA, -1
2022-03-20, 15:04:38, Eingang, 52075, 21, No face visible, NA, -1
2022-03-20, 15:04:39, Eingang, 52085, 21, No face visible, NA, -1
2022-03-20, 15:04:39, Eingang, 52086, 21, No face visible, NA, -1
2022-03-20, 15:04:41, Eingang, 52096, 21, No face visible, NA, -1
2022-03-20, 15:04:41, Eingang, 52106, 21, No face visible, NA, -1
2022-03-20, 15:04:42, Eingang, 52116, 21, No face visible, NA, -1
2022-03-20, 15:04:43, Eingang, 52126, 21, No face visible, NA, -1
2022-03-20, 15:04:45, Eingang, 52136, 21, No face visible, NA, -1
2022-03-20, 15:04:45, Eingang, 52146, 21, No face visible, NA, -1
2022-03-20, 15:04:46, Eingang, 52147, 21, No face visible, NA, -1
2022-03-20, 15:04:47, Eingang, 52157, 21, No face visible, NA, -1
2022-03-20, 15:04:48, Eingang, 52167, 21, No face visible, NA, -1
2022-03-20, 15:04:49, Eingang, 52177, 21, No face visible, NA, -1
2022-03-20, 15:04:50, Eingang, 52187, 21, No face visible, NA, -1
2022-03-20, 15:04:51, Eingang, 52197, 21, No face visible, NA, -1
2022-03-20, 15:04:52, Eingang, 52207, 21, No face visible, NA, -1
2022-03-20, 15:04:52, Eingang, 52208, 21, No face visible, NA, -1
2022-03-20, 15:04:53, Eingang, 52218, 21, No face visible, NA, -1
2022-03-20, 15:04:54, Eingang, 52228, 21, No face visible, NA, -1
2022-03-20, 15:04:55, Eingang, 52238, 21, No face visible, NA, -1
2022-03-20, 15:04:56, Eingang, 52248, 21, No face visible, NA, -1
2022-03-20, 15:04:57, Eingang, 52258, 21, No face visible, NA, -1
2022-03-20, 15:04:58, Eingang, 52268, 21, No face visible, NA, -1
2022-03-20, 15:04:58, Eingang, 52269, 21, No face visible, NA, -1
2022-03-20, 15:05:00, Eingang, 52294, 21, No face visible, NA, -1
2022-03-20, 15:05:02, Eingang, 52316, 21, No face visible, NA, -1
2022-03-20, 15:05:03, Eingang, 52326, 21, No face visible, NA, -1
2022-03-20, 15:05:04, Eingang, 52336, 21, No face visible, NA, -1
2022-03-20, 15:05:05, Eingang, 52346, 21, No face visible, NA, -1
2022-03-20, 15:05:06, Eingang, 52356, 21, No face visible, NA, -1
2022-03-20, 15:05:06, Eingang, 52357, 21, No face visible, NA, -1
2022-03-20, 15:05:08, Eingang, 52367, 21, No face visible, NA, -1
2022-03-20, 15:05:09, Eingang, 52377, 21, No face visible, NA, -1
2022-03-20, 15:05:10, Eingang, 52387, 21, No face visible, NA, -1
2022-03-20, 15:05:11, Eingang, 52397, 21, No face visible, NA, -1
2022-03-20, 15:05:12, Eingang, 52407, 21, No face visible, NA, -1
2022-03-20, 15:05:13, Eingang, 52417, 21, No face visible, NA, -1
2022-03-20, 15:05:13, Eingang, 52418, 21, No face visible, NA, -1
2022-03-20, 15:05:14, Eingang, 52428, 21, No face visible, NA, -1
2022-03-20, 15:05:15, Eingang, 52438, 21, No face visible, NA, -1
2022-03-20, 15:05:16, Eingang, 52448, 21, No face visible, NA, -1
2022-03-20, 15:05:17, Eingang, 52458, 21, No face visible, NA, -1
2022-03-20, 15:05:18, Eingang, 52468, 21, No face visible, NA, -1
2022-03-20, 15:05:19, Eingang, 52478, 21, No face visible, NA, -1
2022-03-20, 15:05:19, Eingang, 52479, 21, No face visible, NA, -1
2022-03-20, 15:05:20, Eingang, 52489, 21, No face visible, NA, -1
2022-03-20, 15:05:21, Eingang, 52499, 21, No face visible, NA, -1
2022-03-20, 15:05:22, Eingang, 52509, 21, No face visible, NA, -1
2022-03-20, 15:05:23, Eingang, 52519, 21, No face visible, NA, -1
2022-03-20, 15:05:24, Eingang, 52529, 21, No face visible, NA, -1
2022-03-20, 15:05:25, Eingang, 52539, 21, No face visible, NA, -1
2022-03-20, 15:05:25, Eingang, 52540, 21, No face visible, NA, -1
2022-03-20, 15:05:26, Eingang, 52550, 21, No face visible, NA, -1
2022-03-20, 15:05:27, Eingang, 52560, 21, No face visible, NA, -1
2022-03-20, 15:05:28, Eingang, 52570, 21, No face visible, NA, -1
2022-03-20, 15:05:29, Eingang, 52580, 21, No face visible, NA, -1
2022-03-20, 15:05:30, Eingang, 52590, 21, No face visible, NA, -1
2022-03-20, 15:05:32, Eingang, 52609, 21, No face visible, NA, -1
2022-03-20, 15:05:32, Eingang, 52610, 21, No face visible, NA, -1
2022-03-20, 15:05:33, Eingang, 52620, 21, No face visible, NA, -1
2022-03-20, 15:05:34, Eingang, 52630, 21, No face visible, NA, -1
2022-03-20, 15:05:35, Eingang, 52640, 21, No face visible, NA, -1
2022-03-20, 15:05:36, Eingang, 52650, 21, No face visible, NA, -1
2022-03-20, 15:05:37, Eingang, 52660, 21, No face visible, NA, -1
2022-03-20, 15:05:44, Eingang, 52727, 21, No face visible, NA, -1
2022-03-20, 15:05:44, Eingang, 52728, 21, No face visible, NA, -1
2022-03-20, 15:05:46, Eingang, 52750, 21, No face visible, NA, -1
2022-03-20, 15:05:55, Lost, person, 21, 1994,  707
