2022-03-22, 12:34:20, Found, person, 199, 1180, 1543
2022-03-22, 12:34:20, Eingang, 745573, 199, No face visible, NA, -1
2022-03-22, 12:34:22, Eingang, 745583, 199, No face visible, NA, -1
2022-03-22, 12:34:22, Eingang, 745593, 199, No face visible, NA, -1
2022-03-22, 12:34:24, Eingang, 745603, 199, No face visible, NA, -1
2022-03-22, 12:34:24, Eingang, 745613, 199, No face visible, NA, -1
2022-03-22, 12:34:26, Eingang, 745623, 199, No face visible, NA, -1
2022-03-22, 12:34:26, Eingang, 745633, 199, No face visible, NA, -1
2022-03-22, 12:34:26, Eingang, 745634, 199, No face visible, NA, -1
2022-03-22, 12:34:28, Eingang, 745644, 199, No face visible, NA, -1
2022-03-22, 12:34:28, Eingang, 745654, 199, No face visible, NA, -1
2022-03-22, 12:34:30, Eingang, 745664, 199, No face visible, NA, -1
2022-03-22, 12:34:30, Eingang, 745674, 199, No face visible, NA, -1
2022-03-22, 12:34:32, Eingang, 745684, 199, No face visible, NA, -1
2022-03-22, 12:34:32, Eingang, 745694, 199, No face visible, NA, -1
2022-03-22, 12:34:33, Eingang, 745695, 199, No face visible, NA, -1
2022-03-22, 12:34:34, Eingang, 745705, 199, No face visible, NA, -1
2022-03-22, 12:34:34, Eingang, 745715, 199, No face visible, NA, -1
2022-03-22, 12:34:36, Eingang, 745725, 199, Holger, NA, -1
2022-03-22, 12:34:36, Eingang, 745735, 199, Silvia, NA, -1
2022-03-22, 12:34:38, Eingang, 745745, 199, No face visible, NA, -1
2022-03-22, 12:34:38, Eingang, 745755, 199, No face visible, NA, -1
2022-03-22, 12:34:39, Eingang, 745756, 199, No face visible, NA, -1
2022-03-22, 12:34:40, Eingang, 745766, 199, No face visible, NA, -1
2022-03-22, 12:34:41, Eingang, 745776, 199, No face visible, NA, -1
2022-03-22, 12:34:42, Eingang, 745786, 199, No face visible, NA, -1
2022-03-22, 12:34:43, Eingang, 745796, 199, No face visible, NA, -1
2022-03-22, 12:34:44, Eingang, 745806, 199, No face visible, NA, -1
2022-03-22, 12:34:44, Eingang, 745816, 199, No face visible, NA, -1
2022-03-22, 12:34:45, Eingang, 745817, 199, No face visible, NA, -1
2022-03-22, 12:34:46, Eingang, 745827, 199, No face visible, NA, -1
2022-03-22, 12:34:47, Eingang, 745837, 199, No face visible, NA, -1
2022-03-22, 12:34:48, Eingang, 745847, 199, No face visible, NA, -1
2022-03-22, 12:34:49, Eingang, 745857, 199, No face visible, NA, -1
2022-03-22, 12:34:50, Eingang, 745867, 199, No face visible, NA, -1
2022-03-22, 12:34:51, Eingang, 745877, 199, No face visible, NA, -1
2022-03-22, 12:34:51, Eingang, 745878, 199, No face visible, NA, -1
2022-03-22, 12:34:52, Eingang, 745888, 199, No face visible, NA, -1
2022-03-22, 12:34:54, Out, person, 199, 597, 1924
