2022-03-22, 15:40:01, Eingang, 856677, 298, unknown, NA, [-0.037123460322618484, -0.10929888486862183, -0.04024152457714081, -0.12135450541973114, 0.0943329781293869, 0.02917855978012085, -0.00563026312738657, -0.061057064682245255, 0.0022791114170104265, 0.05628257244825363, 0.055693406611680984, -0.08600675314664841, 0.01918715424835682, -0.0997975766658783, -0.016247715801000595, 0.11617258936166763, 0.09305980801582336, -0.08837824314832687, 0.0787760466337204, -0.15307272970676422, 0.049513645470142365, 0.03324871510267258, -0.05535339564085007, -0.016259655356407166, 0.048602696508169174, -0.04009685292840004, 0.13273824751377106, 0.09928522258996964, -0.039638929069042206, 0.003389488672837615, -0.051573291420936584, 0.09388960152864456, 0.030697036534547806, -0.001268878229893744, 0.14690518379211426, -0.12372890114784241, 0.051514510065317154, 0.025554286316037178, 0.1374465525150299, 0.009706598706543446, 0.07061459124088287, 0.0006039820145815611, -0.03894908353686333, -0.04737373813986778, -0.10508786886930466, -0.1387564092874527, 0.001618014182895422, -0.0382855124771595, 0.13227365911006927, 0.07169151306152344, -0.13836489617824554, 0.08200320601463318, 0.05207665264606476, -0.10655216127634048, 0.03232463449239731, 0.05445963144302368, 0.1496739536523819, 0.01752721518278122, -0.07743766158819199, -0.2499496191740036, -0.10485105961561203, -0.08266281336545944, -0.020251205191016197, 0.21639035642147064, -0.05534226447343826, 0.1399991810321808, 0.091317318379879, 0.008788594044744968, 0.06449557095766068, -0.1278330534696579, -0.020666437223553658, -0.12684616446495056, 0.0508955679833889, -0.12361408025026321, -0.013788792304694653, -0.03167659789323807, -0.0001909424172481522, 0.08838431537151337, -0.06609385460615158, -0.09643016755580902, -0.15926451981067657, -0.04934984818100929, 0.04606679081916809, 0.06788919866085052, 0.12106436491012573, 0.049062732607126236, 0.10200020670890808, -0.05542798340320587, -0.17684520781040192, 0.2172812819480896, 0.09225284308195114, 0.02491132542490959, -0.00853095855563879, 0.017763247713446617, 0.19023025035858154, 0.043674908578395844, -0.007784390822052956, -0.07309544831514359, -0.21580463647842407, -0.015319965779781342, -0.07470624148845673, 0.15459784865379333, 0.04677596688270569, -0.07785223424434662, 0.01167988684028387, 0.053826767951250076, -0.04073623940348625, 0.02152625098824501, -0.08682186156511307, -0.10510876774787903, 0.040512483566999435, 0.0565701387822628, 0.07716605812311172, 0.12408678978681564, -0.022186482325196266, 0.033055923879146576, 0.047224096953868866, 0.09169313311576843, 0.05069759115576744, -0.004158463794738054, -0.036181412637233734, 0.01775151491165161, 0.09423714131116867, 0.02112027071416378, 0.088937908411026, -0.1432214081287384, 0.051681794226169586, 0.03944208845496178]
2022-03-22, 15:40:02, Eingang, 856687, 298, No face visible, NA, -1
2022-03-22, 15:40:02, Eingang, 856688, 298, No face visible, NA, -1
2022-03-22, 15:40:04, Eingang, 856698, 298, No face visible, NA, -1
2022-03-22, 15:40:04, Eingang, 856708, 298, No face visible, NA, -1
2022-03-22, 15:40:05, Eingang, 856718, 298, No face visible, NA, -1
2022-03-22, 15:40:06, Eingang, 856728, 298, No face visible, NA, -1
2022-03-22, 15:40:07, Eingang, 856738, 298, No face visible, NA, -1
2022-03-22, 15:40:08, Eingang, 856748, 298, No face visible, NA, -1
2022-03-22, 15:40:08, Eingang, 856749, 298, No face visible, NA, -1
2022-03-22, 15:40:10, Eingang, 856759, 298, No face visible, NA, -1
2022-03-22, 15:40:10, Eingang, 856769, 298, No face visible, NA, -1
2022-03-22, 15:40:12, Eingang, 856779, 298, No face visible, NA, -1
2022-03-22, 15:40:16, Eingang, 856825, 298, No face visible, NA, -1
2022-03-22, 15:40:17, Eingang, 856835, 298, No face visible, NA, -1
2022-03-22, 15:40:26, Lost, person, 298, 2002,  203
