2022-03-26, 10:05:43, Found, person, 18, 2279,  387
2022-03-26, 10:05:43, Eingang, 678334, 18, No face visible, NA, -1
2022-03-26, 10:05:43, Eingang, 678344, 18, No face visible, NA, -1
2022-03-26, 10:05:44, Eingang, 678354, 18, No face visible, NA, -1
2022-03-26, 10:05:44, Eingang, 678364, 18, No face visible, NA, -1
2022-03-26, 10:05:45, Eingang, 678374, 18, No face visible, NA, -1
2022-03-26, 10:05:45, Eingang, 678384, 18, No face visible, NA, -1
2022-03-26, 10:05:46, Eingang, 678394, 18, No face visible, NA, -1
2022-03-26, 10:05:46, Eingang, 678395, 18, No face visible, NA, -1
2022-03-26, 10:05:46, Eingang, 678405, 18, No face visible, NA, -1
2022-03-26, 10:05:47, Eingang, 678415, 18, No face visible, NA, -1
2022-03-26, 10:05:47, Eingang, 678425, 18, Silvia, NA, -1
2022-03-26, 10:05:48, Eingang, 678435, 18, No face visible, NA, -1
2022-03-26, 10:05:48, Eingang, 678445, 18, No face visible, NA, -1
2022-03-26, 10:05:49, Eingang, 678455, 18, No face visible, NA, -1
2022-03-26, 10:05:49, Eingang, 678456, 18, No face visible, NA, -1
2022-03-26, 10:05:49, Eingang, 678466, 18, No face visible, NA, -1
2022-03-26, 10:05:50, Eingang, 678476, 18, No face visible, NA, -1
2022-03-26, 10:05:51, Eingang, 678486, 18, No face visible, NA, -1
2022-03-26, 10:05:51, Eingang, 678496, 18, No face visible, NA, -1
2022-03-26, 10:05:52, Eingang, 678506, 18, No face visible, NA, -1
2022-03-26, 10:05:52, Eingang, 678516, 18, No face visible, NA, -1
2022-03-26, 10:05:52, Eingang, 678517, 18, No face visible, NA, -1
2022-03-26, 10:05:53, Eingang, 678527, 18, No face visible, NA, -1
2022-03-26, 10:05:53, Eingang, 678537, 18, No face visible, NA, -1
2022-03-26, 10:05:54, Eingang, 678547, 18, No face visible, NA, -1
2022-03-26, 10:05:54, Eingang, 678557, 18, No face visible, NA, -1
2022-03-26, 10:05:55, Eingang, 678567, 18, No face visible, NA, -1
2022-03-26, 10:05:55, Eingang, 678577, 18, No face visible, NA, -1
2022-03-26, 10:05:55, Eingang, 678578, 18, No face visible, NA, -1
2022-03-26, 10:05:55, Eingang, 678588, 18, No face visible, NA, -1
2022-03-26, 10:05:56, Eingang, 678598, 18, No face visible, NA, -1
2022-03-26, 10:06:01, Lost, person, 18, 2358,  283
