2022-03-23, 13:59:11, Reidentified, person, 603, 2468,  388
2022-03-23, 13:59:11, Eingang, 1677972, 603, No face visible, NA, -1
2022-03-23, 13:59:12, Eingang, 1677982, 603, No face visible, NA, -1
2022-03-23, 13:59:13, Eingang, 1677983, 603, No face visible, NA, -1
2022-03-23, 13:59:13, Eingang, 1677993, 603, unknown, NA, [0.035595547407865524, -0.06993651390075684, -0.08062174916267395, -0.08850274980068207, -0.11846652626991272, -0.07390493899583817, -0.032495543360710144, -0.03627414256334305, -0.024876412004232407, -0.02908060885965824, -0.0034951011184602976, -0.08793945610523224, -0.05250072851777077, -0.16229122877120972, 0.03865015506744385, 0.003390308702364564, 0.1203051507472992, -0.05170596018433571, 0.10481466352939606, -0.07411089539527893, -0.16040320694446564, -0.009912527166306973, -0.11712406575679779, 0.06793566048145294, 0.04029298946261406, 0.07034079730510712, 0.1248168870806694, 0.10498563200235367, -0.0900283008813858, -0.04750779643654823, -0.03365051746368408, 0.09291771054267883, 0.005303650628775358, -0.012904678471386433, 0.0842573344707489, -0.04991007596254349, 0.08248959481716156, -0.025700809434056282, 0.22253641486167908, -0.040490053594112396, -0.0048792604357004166, 0.021351203322410583, -0.11261443048715591, -0.020884236320853233, -0.0381881408393383, -0.06610806286334991, 0.04479634389281273, -0.051611192524433136, -0.023023482412099838, -0.013084984384477139, 0.012488097883760929, 0.014299847185611725, 0.06590234488248825, -0.05978420749306679, 0.050052326172590256, 0.1650288701057434, 0.09515473246574402, -0.015137551352381706, 0.013094167225062847, -0.11995135247707367, 0.0512642040848732, -0.03633473441004753, -0.02954944595694542, 0.17276737093925476, 0.12192749977111816, 0.15869782865047455, 0.09101319313049316, -0.02310125343501568, -0.011742381379008293, -0.045989420264959335, -0.021749300882220268, -0.1113019734621048, 0.11264491081237793, -0.16795745491981506, -0.009779115207493305, 0.060413654893636703, -0.13199767470359802, 0.05964541435241699, 0.022571507841348648, -0.1527961939573288, -0.027492688968777657, -0.04919712245464325, -0.06580942869186401, 0.12612347304821014, 0.1436205804347992, -0.20228958129882812, 0.06262930482625961, -0.09955576807260513, -0.16390758752822876, 0.128712996840477, 0.0716918557882309, -0.05369403585791588, -0.19328802824020386, -0.05716812238097191, -0.012557337991893291, -0.014692209661006927, 0.06542135030031204, -0.06629209220409393, -0.13013885915279388, -0.01514256652444601, -0.03929472342133522, 0.14421537518501282, 0.061915118247270584, -0.050003279000520706, 0.043728504329919815, 0.1036520004272461, -0.07606381922960281, 0.00788180436939001, -0.06912105530500412, -0.1307685822248459, 0.008365046232938766, 0.059984028339385986, 0.08436566591262817, 0.006230128463357687, -0.03524980694055557, 0.08366180956363678, -0.10859277844429016, 0.09299903362989426, 0.11505268514156342, 0.10683697462081909, 0.02712227590382099, -0.07471513748168945, 0.053245946764945984, 0.12410212308168411, 0.12808755040168762, -0.19480712711811066, 0.07816866040229797, -0.09060101211071014]
2022-03-23, 13:59:15, Eingang, 1678003, 603, No face visible, NA, -1
2022-03-23, 13:59:15, Eingang, 1678013, 603, No face visible, NA, -1
2022-03-23, 13:59:17, Eingang, 1678023, 603, No face visible, NA, -1
2022-03-23, 13:59:17, Eingang, 1678033, 603, No face visible, NA, -1
2022-03-23, 13:59:19, Eingang, 1678043, 603, No face visible, NA, -1
2022-03-23, 13:59:19, Eingang, 1678044, 603, No face visible, NA, -1
2022-03-23, 13:59:20, Eingang, 1678054, 603, No face visible, NA, -1
2022-03-23, 13:59:21, Eingang, 1678064, 603, No face visible, NA, -1
2022-03-23, 13:59:22, Eingang, 1678074, 603, No face visible, NA, -1
2022-03-23, 13:59:23, Eingang, 1678084, 603, unknown, NA, [-0.032787714153528214, -0.07219328731298447, -0.09268901497125626, -0.07423695921897888, 0.0818830132484436, -0.03582951799035072, 0.024850497022271156, -0.04099525883793831, 0.00036773079773411155, 0.022038063034415245, 0.08998945355415344, -0.07753732800483704, -0.00039315360481850803, -0.17882516980171204, -0.0026199915446341038, 0.032055169343948364, 0.08924151211977005, -0.07172468304634094, 0.05831676721572876, -0.1533694714307785, -0.02918609231710434, -0.011281540617346764, -0.0963706523180008, -0.020280364900827408, 0.028445156291127205, -0.035899512469768524, 0.153206005692482, 0.042621247470378876, -0.0966654121875763, -0.018210114911198616, -0.09445658326148987, 0.0329110287129879, -0.015484978444874287, -0.06771345436573029, 0.1388372927904129, -0.01596209406852722, 0.14377707242965698, 0.011393682099878788, 0.11085698753595352, -0.010506129823625088, 0.09625812619924545, 0.05632449686527252, -0.007896177470684052, -0.022661779075860977, -0.09880004078149796, -0.13422347605228424, 0.026966754347085953, -0.003144148038700223, 0.1150478795170784, 0.04708051681518555, -0.13455355167388916, 0.06403868645429611, 0.09017864614725113, -0.030685562640428543, -0.04062967002391815, 0.10919614136219025, 0.08098988234996796, 0.017255062237381935, -0.025709865614771843, -0.20073792338371277, -0.11776050180196762, -0.04742885380983353, -0.032509054988622665, 0.20856831967830658, 0.047517433762550354, 0.18169258534908295, 0.04429199919104576, 0.013035792857408524, 0.03588252142071724, -0.08856308460235596, 0.034613437950611115, -0.10932230949401855, 0.037185538560152054, -0.14297699928283691, 0.0011757153552025557, -0.05266031622886658, -0.017715269699692726, 0.14432930946350098, -0.07865964621305466, -0.12092354893684387, -0.1251085102558136, -0.07719631493091583, -0.017731396481394768, 0.028634987771511078, 0.1118844524025917, 0.024765219539403915, 0.06937289983034134, -0.04918209835886955, -0.1672370880842209, 0.20967739820480347, 0.1029588133096695, 0.04454607889056206, -0.01290278322994709, -0.016874738037586212, 0.04758710041642189, 0.10189070552587509, 0.02094436064362526, -0.15150456130504608, -0.1572173535823822, 0.07443652302026749, -0.09276285022497177, 0.1724821776151657, 0.14969150722026825, -0.12293587625026703, 0.028780657798051834, 0.06742417067289352, -0.018590988591313362, -0.013226211071014404, -0.06299009174108505, -0.10003102570772171, 0.046957895159721375, 0.040652211755514145, 0.0939490795135498, 0.12886793911457062, -0.029468882828950882, 0.0498887374997139, -0.04811600595712662, 0.15533189475536346, 0.12063383311033249, 0.08074728399515152, -0.07593190670013428, -0.10947275161743164, 0.10251925140619278, 0.05458097159862518, 0.05302588269114494, -0.0951395034790039, 0.12569721043109894, 0.025221027433872223]
2022-03-23, 13:59:24, Eingang, 1678094, 603, No face visible, NA, -1
2022-03-23, 13:59:25, Eingang, 1678104, 603, No face visible, NA, -1
2022-03-23, 13:59:25, Eingang, 1678105, 603, unknown, NA, [-0.05384553596377373, -0.09316636621952057, -0.0692163035273552, -0.1075839176774025, 0.06527216732501984, -0.03499098867177963, 0.011250492185354233, -0.03837953507900238, -0.0006544719217345119, 0.028597623109817505, 0.07940241694450378, -0.058053307235240936, 0.009829457849264145, -0.13766829669475555, -0.040152408182621, 0.09375326335430145, 0.07371307909488678, -0.1281576007604599, 0.07055879384279251, -0.17101110517978668, 0.009835326112806797, 0.002307157963514328, -0.0567411445081234, 0.008543123491108418, 0.035932473838329315, -0.03196560591459274, 0.19178573787212372, 0.10678806900978088, -0.06716234982013702, -0.03164512291550636, -0.13411471247673035, 0.08306846022605896, 0.02147788554430008, -0.044820476323366165, 0.11272724717855453, -0.040564630180597305, 0.08027110248804092, 0.028807910159230232, 0.16947491466999054, -0.013624596409499645, 0.07486998289823532, 0.016086969524621964, -0.0504273921251297, -0.04749034345149994, -0.10379096865653992, -0.12304303050041199, 0.03510134294629097, -0.04985642805695534, 0.08774716407060623, 0.06393128633499146, -0.10731552541255951, 0.10130318999290466, 0.07955773174762726, -0.09432926774024963, -0.006857373286038637, 0.1200680062174797, 0.09033682942390442, 0.03733770549297333, -0.029247267171740532, -0.19909219443798065, -0.1109284907579422, -0.08286011219024658, -0.060777220875024796, 0.1418130099773407, 0.030682329088449478, 0.1500549614429474, 0.0689394474029541, 0.03730073943734169, 0.008943906053900719, -0.09496519714593887, -0.01737046428024769, -0.09697440266609192, 0.061155565083026886, -0.12935809791088104, -0.011387009173631668, -0.02546311914920807, 0.0003886945778504014, 0.11946258693933487, -0.05421193689107895, -0.14012254774570465, -0.14805728197097778, -0.03808918595314026, 0.05031007155776024, 0.063528873026371, 0.08794231712818146, 0.06526093184947968, 0.12927648425102234, -0.043119221925735474, -0.15041427314281464, 0.2151762992143631, 0.11569545418024063, 0.03804698586463928, 0.008548992685973644, -0.027689650654792786, 0.12219281494617462, 0.06407281011343002, 0.005621935240924358, -0.14545533061027527, -0.1894431859254837, 0.04858841374516487, -0.08994552493095398, 0.1639711707830429, 0.10114068537950516, -0.12227700650691986, 0.007813950069248676, 0.01816820353269577, -0.009039591066539288, 0.04748930409550667, -0.033999472856521606, -0.070001021027565, 0.06203282251954079, 0.02045416831970215, 0.11356309056282043, 0.13060219585895538, -0.0008856738568283617, 0.048389457166194916, 0.009840925224125385, 0.18400439620018005, 0.09952779859304428, 0.014822468161582947, -0.0654626190662384, -0.019328255206346512, 0.09495746344327927, 0.0740480050444603, 0.10463576763868332, -0.11742882430553436, 0.1071343943476677, 0.006243602838367224]
2022-03-23, 13:59:26, Eingang, 1678115, 603, No face visible, NA, -1
2022-03-23, 13:59:27, Eingang, 1678125, 603, No face visible, NA, -1
2022-03-23, 13:59:28, Eingang, 1678135, 603, No face visible, NA, -1
2022-03-23, 13:59:29, Eingang, 1678145, 603, No face visible, NA, -1
2022-03-23, 13:59:30, Eingang, 1678155, 603, No face visible, NA, -1
2022-03-23, 13:59:31, Eingang, 1678165, 603, No face visible, NA, -1
2022-03-23, 13:59:31, Eingang, 1678166, 603, No face visible, NA, -1
2022-03-23, 13:59:32, Eingang, 1678176, 603, No face visible, NA, -1
2022-03-23, 13:59:33, Eingang, 1678192, 603, No face visible, NA, -1
2022-03-23, 13:59:41, Eingang, 1678274, 603, No face visible, NA, -1
2022-03-23, 13:59:43, Eingang, 1678287, 603, No face visible, NA, -1
2022-03-23, 13:59:44, Eingang, 1678297, 603, No face visible, NA, -1
2022-03-23, 13:59:45, Eingang, 1678307, 603, No face visible, NA, -1
2022-03-23, 13:59:45, Eingang, 1678308, 603, No face visible, NA, -1
2022-03-23, 13:59:46, Eingang, 1678318, 603, No face visible, NA, -1
2022-03-23, 13:59:47, Eingang, 1678328, 603, No face visible, NA, -1
2022-03-23, 13:59:48, Eingang, 1678338, 603, No face visible, NA, -1
2022-03-23, 13:59:49, Eingang, 1678348, 603, No face visible, NA, -1
2022-03-23, 13:59:50, Eingang, 1678358, 603, No face visible, NA, -1
2022-03-23, 13:59:51, Eingang, 1678368, 603, No face visible, NA, -1
2022-03-23, 13:59:51, Eingang, 1678369, 603, No face visible, NA, -1
2022-03-23, 13:59:52, Eingang, 1678379, 603, No face visible, NA, -1
2022-03-23, 13:59:53, Eingang, 1678392, 603, No face visible, NA, -1
2022-03-23, 13:59:54, Eingang, 1678402, 603, No face visible, NA, -1
2022-03-23, 13:59:56, Eingang, 1678415, 603, No face visible, NA, -1
2022-03-23, 13:59:57, Eingang, 1678425, 603, No face visible, NA, -1
2022-03-23, 13:59:58, Eingang, 1678435, 603, No face visible, NA, -1
2022-03-23, 13:59:58, Eingang, 1678436, 603, No face visible, NA, -1
2022-03-23, 13:59:59, Eingang, 1678446, 603, No face visible, NA, -1
2022-03-23, 14:00:00, Eingang, 1678456, 603, No face visible, NA, -1
2022-03-23, 14:00:01, Eingang, 1678466, 603, No face visible, NA, -1
2022-03-23, 14:00:02, Eingang, 1678476, 603, No face visible, NA, -1
2022-03-23, 14:00:04, Eingang, 1678501, 603, No face visible, NA, -1
2022-03-23, 14:00:05, Eingang, 1678511, 603, No face visible, NA, -1
