2022-03-29, 15:41:46, Found, person, 144, 1570, 1074
2022-03-29, 15:41:46, Eingang, 1762750, 144, No face visible, NA, -1
2022-03-29, 15:41:47, Eingang, 1762770, 144, Maureen_Leber, 1.9294448919480742, [-0.0021531975362449884, -0.09604977071285248, -0.0407138355076313, -0.10416155308485031, 0.16228540241718292, 0.053886350244283676, 0.0396820530295372, -0.0036596886347979307, 0.06376517564058304, 0.03654375299811363, 0.1140723004937172, -0.10804132372140884, -0.02084451913833618, -0.17522352933883667, 0.0015282898675650358, 0.031132513657212257, 0.03233988583087921, -0.09958866238594055, 0.03742104396224022, -0.16885030269622803, -0.0277758426964283, 0.03967259079217911, -0.06873295456171036, 0.07429032772779465, 0.005888068117201328, -0.03153340145945549, 0.1554279923439026, 0.02953830547630787, -0.1301761418581009, -0.07728958874940872, -0.02326659858226776, 0.043048299849033356, -0.007514101918786764, -0.058415934443473816, 0.11347297579050064, -0.025976991280913353, 0.03229673579335213, -0.01822812855243683, 0.16809892654418945, 0.0043991911225020885, 0.039883870631456375, -0.0700855702161789, -0.011271251365542412, -0.07717379927635193, -0.10180366039276123, -0.11285975575447083, 0.028096022084355354, -0.0402093268930912, 0.10496719926595688, 0.013949154876172543, -0.10937348753213882, 0.13105477392673492, 0.08513284474611282, -0.12746451795101166, 0.0015608607791364193, 0.13998857140541077, 0.0540667399764061, -0.02893262729048729, -0.060163598507642746, -0.16153419017791748, -0.08293689787387848, -0.10035558044910431, -0.027641940861940384, 0.1961761713027954, 0.08613134175539017, 0.1069137379527092, 0.07351498305797577, 0.040990255773067474, -0.02860269322991371, -0.04592617228627205, 0.021748969331383705, -0.12490825355052948, 0.06137390807271004, -0.1680593192577362, 0.03702810779213905, -0.04360331594944, -0.04080774262547493, 0.1589377224445343, -0.17827290296554565, -0.04235757142305374, -0.14056186378002167, -0.06642834097146988, 0.01563616655766964, 0.07200349122285843, 0.10078584402799606, -0.007781815715134144, 0.04178445413708687, -0.11041612178087234, -0.11583355814218521, 0.08692970126867294, 0.10648271441459656, -0.008516300469636917, -0.07264528423547745, -0.02910863794386387, 0.15856336057186127, 0.03946499526500702, -0.08663021773099899, -0.09588348865509033, -0.1664084941148758, 0.02538575977087021, -0.05967239290475845, 0.12511679530143738, 0.07012700289487839, -0.1062949001789093, -0.016128620132803917, 0.0687897801399231, 0.00522577902302146, -0.048224885016679764, -0.0344751738011837, -0.13378579914569855, 0.019953621551394463, 0.10210942476987839, 0.10290547460317612, 0.08792329579591751, 0.029919307678937912, 0.08203472942113876, -0.012358322739601135, 0.14729967713356018, 0.04068845137953758, 0.1124911904335022, -0.06999249011278152, -0.09771411865949631, 0.14714087545871735, 0.07902628928422928, 0.061918485909700394, -0.1524941772222519, 0.09530462324619293, 0.06702335178852081]
2022-03-29, 15:41:48, Eingang, 1762790, 144, No face visible, NA, -1
2022-03-29, 15:41:49, Eingang, 1762810, 144, No face visible, NA, -1
2022-03-29, 15:41:50, Eingang, 1762830, 144, No face visible, NA, -1
2022-03-29, 15:41:51, Eingang, 1762850, 144, No face visible, NA, -1
2022-03-29, 15:41:52, Eingang, 1762870, 144, No face visible, NA, -1
2022-03-29, 15:41:52, Eingang, 1762871, 144, No face visible, NA, -1
2022-03-29, 15:41:53, Eingang, 1762891, 144, No face visible, NA, -1
2022-03-29, 15:41:54, Eingang, 1762911, 144, No face visible, NA, -1
