2022-03-27, 17:44:11, Eingang, 105363, 34, No face visible, NA, -1
2022-03-27, 17:44:12, Eingang, 105373, 34, No face visible, NA, -1
2022-03-27, 17:44:12, Eingang, 105383, 34, No face visible, NA, -1
2022-03-27, 17:44:13, Eingang, 105393, 34, No face visible, NA, -1
2022-03-27, 17:44:13, Eingang, 105403, 34, No face visible, NA, -1
2022-03-27, 17:44:14, Eingang, 105413, 34, No face visible, NA, -1
2022-03-27, 17:44:14, Eingang, 105423, 34, No face visible, NA, -1
2022-03-27, 17:44:14, Eingang, 105424, 34, No face visible, NA, -1
2022-03-27, 17:44:15, Eingang, 105434, 34, No face visible, NA, -1
2022-03-27, 17:44:16, Eingang, 105444, 34, No face visible, NA, -1
2022-03-27, 17:44:16, Eingang, 105454, 34, No face visible, NA, -1
2022-03-27, 17:44:17, Eingang, 105464, 34, No face visible, NA, -1
2022-03-27, 17:44:17, Eingang, 105474, 34, No face visible, NA, -1
2022-03-27, 17:44:18, Eingang, 105484, 34, No face visible, NA, -1
2022-03-27, 17:44:18, Eingang, 105485, 34, No face visible, NA, -1
2022-03-27, 17:44:18, Eingang, 105495, 34, No face visible, NA, -1
2022-03-27, 17:44:19, Eingang, 105505, 34, No face visible, NA, -1
2022-03-27, 17:44:19, Eingang, 105515, 34, No face visible, NA, -1
2022-03-27, 17:44:20, Eingang, 105525, 34, No face visible, NA, -1
2022-03-27, 17:44:20, Eingang, 105535, 34, No face visible, NA, -1
2022-03-27, 17:44:21, Eingang, 105545, 34, No face visible, NA, -1
2022-03-27, 17:44:21, Eingang, 105546, 34, No face visible, NA, -1
2022-03-27, 17:44:21, Eingang, 105556, 34, No face visible, NA, -1
2022-03-27, 17:44:22, Eingang, 105566, 34, No face visible, NA, -1
2022-03-27, 17:44:22, Eingang, 105576, 34, No face visible, NA, -1
2022-03-27, 17:44:23, Eingang, 105586, 34, No face visible, NA, -1
2022-03-27, 17:44:23, Eingang, 105596, 34, No face visible, NA, -1
2022-03-27, 17:44:24, Eingang, 105606, 34, No face visible, NA, -1
2022-03-27, 17:44:24, Eingang, 105607, 34, No face visible, NA, -1
2022-03-27, 17:44:24, Eingang, 105617, 34, No face visible, NA, -1
2022-03-27, 17:44:25, Eingang, 105627, 34, No face visible, NA, -1
2022-03-27, 17:44:25, Eingang, 105637, 34, No face visible, NA, -1
2022-03-27, 17:44:26, Eingang, 105647, 34, No face visible, NA, -1
2022-03-27, 17:44:27, Eingang, 105657, 34, No face visible, NA, -1
2022-03-27, 17:44:31, Lost, person, 34, 607,  258
